geoLocCountry_main	geoLocAdmin1_main	geoLocAdmin2_main	geoLocCountry_use-pycountry	geoLocAdmin1_use-pycountry	geoLocAdmin2_use-pycountry	geoLocCountry_auspice-curate	geoLocAdmin1_auspice-curate	geoLocAdmin2_auspice-curate
Greece	Attica, Athens, Pikrodafni Anatoli sream, Paleo Faliro		Greece		Attica, Athens, Pikrodafni Anatoli sream, Paleo Faliro	Greece	Attica	Athens, Pikrodafni Anatoli sream, Paleo Faliro
Greece	Macedonia, Pieria, Variko		Greece	Kentriki Makedonia	Pieria, Variko	Greece	Macedonia	Pieria, Variko
Greece	Attica, Delta Falirou		Greece		Attica, Delta Falirou	Greece	Attica	Delta Falirou
Greece	Attica, Athens, Pikrodafni stream, Paleo Faliro		Greece		Attica, Athens, Pikrodafni stream, Paleo Faliro	Greece	Attica	Athens, Pikrodafni stream, Paleo Faliro
Greece	Attika Trizina		Greece		Attika Trizina	Greece	Attika Trizina	
Greece	Crete Herakleion		Greece		Crete Herakleion	Greece	Crete Herakleion	
Greece	Attika Chalandri		Greece		Attika Chalandri	Greece	Attika Chalandri	
Greece	Macedonia, Irakleia, Serres		Greece	Kentriki Makedonia	Irakleia, Serres	Greece	Macedonia	Irakleia, Serres
Greece	Macedonia, Serres, Ano Kamila		Greece	Kentriki Makedonia	Serres, Ano Kamila	Greece	Macedonia	Serres, Ano Kamila
Greece	Macedonia, Kilkis, Neo Ginekokastro		Greece	Kentriki Makedonia	Kilkis, Neo Ginekokastro	Greece	Macedonia	Kilkis, Neo Ginekokastro
Greece	Macedonia, Kalochori, Thessalonika		Greece	Kentriki Makedonia	Kalochori, Thessalonika	Greece	Macedonia	Kalochori, Thessalonika
Greece	Attica, Athens, Ilisos river, Moschato		Greece		Attica, Athens, Ilisos river, Moschato	Greece	Attica	Athens, Ilisos river, Moschato
Greece	Macedonia, Adendro, Thessalonika		Greece	Kentriki Makedonia	Adendro, Thessalonika	Greece	Macedonia	Adendro, Thessalonika
Greece	Macedonia, Agios Athanasios, Thesalonika		Greece	Kentriki Makedonia	Agios Athanasios, Thesalonika	Greece	Macedonia	Agios Athanasios, Thesalonika
Greece	Thessaly, Fyllo, Karditsa		Greece		Thessaly, Fyllo, Karditsa	Greece	Thessaly	Fyllo, Karditsa
Greece	Macedonia, Ambeloi, Serres		Greece	Kentriki Makedonia	Ambeloi, Serres	Greece	Macedonia	Ambeloi, Serres
Greece	Macedonia, Kala Dendra, Serres		Greece	Kentriki Makedonia	Kala Dendra, Serres	Greece	Macedonia	Kala Dendra, Serres
Greece	Attica, Riding Centre		Greece		Attica, Riding Centre	Greece	Attica	Riding Centre
Greece	Sterea Ellada, Fhtiotida, Agia Marina		Greece	Sterea Ellada	Fhtiotida, Agia Marina	Greece	Sterea Ellada	Fhtiotida, Agia Marina
Greece	Macedonia, Serres, Kato Dendra		Greece	Kentriki Makedonia	Serres, Kato Dendra	Greece	Macedonia	Serres, Kato Dendra
Greece	Attica, Athens, Pikrodafni sream, Paleo Faliro		Greece		Attica, Athens, Pikrodafni sream, Paleo Faliro	Greece	Attica	Athens, Pikrodafni sream, Paleo Faliro
Greece	Arcadia		Greece		Arcadia	Greece	Arcadia	
Greece			Greece			Greece		
Greece	Karditsa		Greece		Karditsa	Greece	Karditsa	
Greece	Argolida, Peloponnesus		Greece		Argolida, Peloponnesus	Greece	Argolida	Peloponnesus
Greece	Fokida, Itea		Greece		Fokida, Itea	Greece	Fokida	Itea
Greece	East Macedonia-Thrace Avdira Xanthi		Greece		East Macedonia-Thrace Avdira Xanthi	Greece	East Macedonia-Thrace Avdira Xanthi	
Greece	Thessaloniki, Malgara		Greece		Thessaloniki, Malgara	Greece	Thessaloniki	Malgara
Greece	Fthiotida, Anthili Campos		Greece		Fthiotida, Anthili Campos	Greece	Fthiotida	Anthili Campos
Greece	Attiki Ilion		Greece	Attiki		Greece	Attiki Ilion	
Greece	Chalkidiki		Greece		Chalkidiki	Greece	Chalkidiki	
Greece	Attika Kallithea		Greece		Attika Kallithea	Greece	Attika Kallithea	
Greece	Crete Chania Souda		Greece		Crete Chania Souda	Greece	Crete Chania Souda	
Greece	Evia, Fylla		Greece		Evia, Fylla	Greece	Evia	Fylla
Greece	Attiki Methana Trizina		Greece	Attiki		Greece	Attiki Methana Trizina	
Greece	Kavala prefecture		Greece		Kavala prefecture	Greece	Kavala prefecture	
Greece	Attica, Megara		Greece		Attica, Megara	Greece	Attica	Megara
Greece	Macedonia, Imathia, Kefalochori		Greece	Kentriki Makedonia	Imathia, Kefalochori	Greece	Macedonia	Imathia, Kefalochori
Greece	Xanthi, Dasochori		Greece		Xanthi, Dasochori	Greece	Xanthi	Dasochori
Greece	Messenia		Greece		Messenia	Greece	Messenia	
Greece	Chalkidiki, Nea Plagia		Greece		Chalkidiki, Nea Plagia	Greece	Chalkidiki	Nea Plagia
Greece	Corinthia		Greece		Corinthia	Greece	Corinthia	
Greece	Evia, Faros		Greece		Evia, Faros	Greece	Evia	Faros
Greece	Lakonia, Taxiarches		Greece		Lakonia, Taxiarches	Greece	Lakonia	Taxiarches
Greece	Aitoloakarnania, Katohi Coast		Greece		Aitoloakarnania, Katohi Coast	Greece	Aitoloakarnania	Katohi Coast
Greece	Larissa, Koutsohero		Greece		Larissa, Koutsohero	Greece	Larissa	Koutsohero
Hungary	Debrecen		Hungary	Debrecen		Hungary	Debrecen	
Hungary	Jaszbereny		Hungary		Jaszbereny	Hungary	Jaszbereny	
Hungary	Kiskunhalas		Hungary		Kiskunhalas	Hungary	Kiskunhalas	
Hungary	Nyiregyhaza		Hungary	Nyiregyhaza		Hungary	Nyiregyhaza	
Hungary	Kecskemet		Hungary	Kecskemet		Hungary	Kecskemet	
Hungary	Tiszaluc		Hungary		Tiszaluc	Hungary	Tiszaluc	
Hungary	Matyasdomb		Hungary		Matyasdomb	Hungary	Matyasdomb	
Hungary	Hajduszoboszlo		Hungary		Hajduszoboszlo	Hungary	Hajduszoboszlo	
Hungary	Bekescsaba		Hungary	Bekescsaba		Hungary	Bekescsaba	
Hungary	Oroshaza		Hungary		Oroshaza	Hungary	Oroshaza	
Hungary	Cegled		Hungary		Cegled	Hungary	Cegled	
Hungary	Iregszemcse		Hungary		Iregszemcse	Hungary	Iregszemcse	
Hungary	Ujtelek		Hungary		Ujtelek	Hungary	Ujtelek	
Hungary	Dunaujvaros		Hungary	Dunaujvaros		Hungary	Dunaujvaros	
Hungary	Kiskunmajsa		Hungary		Kiskunmajsa	Hungary	Kiskunmajsa	
Hungary	Balkany		Hungary		Balkany	Hungary	Balkany	
Hungary			Hungary			Hungary		
Hungary	Budapest		Hungary	Budapest		Hungary	Central Hungary	Budapest
Hungary	Algyo		Hungary		Algyo	Hungary	Algyo	
Hungary	Jaszkiser		Hungary		Jaszkiser	Hungary	Jaszkiser	
Hungary	Tahitotfalu		Hungary		Tahitotfalu	Hungary	Tahitotfalu	
Hungary	Martfu		Hungary		Martfu	Hungary	Martfu	
Hungary	Hajdudorog		Hungary		Hajdudorog	Hungary	Hajdudorog	
Hungary	Szentmartonkata		Hungary		Szentmartonkata	Hungary	Szentmartonkata	
Hungary	Kisujszallas		Hungary		Kisujszallas	Hungary	Kisujszallas	
Hungary	Enying		Hungary		Enying	Hungary	Enying	
Hungary	Szeged		Hungary	Szeged		Hungary	Szeged	
Hungary	Tisza		Hungary		Tisza	Hungary	Tisza	
Hungary	Zakanyszek		Hungary		Zakanyszek	Hungary	Zakanyszek	
India			India			India		
India	Madras state		India		Madras state	India	Madras state	
India	West Bengal		India	West Bengal		India	West Bengal	
India	Kerala		India	Kerala		India	Kerala	
India	Assam		India	Assam		India	Assam	
India	Assam, Tinsukia		India	Assam	Tinsukia	India	Assam	Tinsukia
Iran			Iran			Iran		
Iraq	Mosul		Iraq		Mosul	Iraq	Mosul	
Israel			Israel			Israel		
Italy	Sardinia region		Italy		Sardinia region	Italy	Sardinia region	
Italy	Lombardi region		Italy	Lombardia		Italy	Lombardi region	
Italy	Umbria region		Italy	Umbria		Italy	Umbria region	
Italy	Padova province		Italy		Padova province	Italy	Padova province	
Italy	Piemonte region		Italy	Piemonte		Italy	Piemonte region	
Italy	Veneto region, Padova		Italy	Veneto	Padova	Italy	Veneto region	Padova
Italy	Veneto region, Portogruaro		Italy	Veneto	Portogruaro	Italy	Veneto region	Portogruaro
Italy	Veneto region, Rovigo		Italy	Veneto	Rovigo	Italy	Veneto region	Rovigo
Italy	Veneto region, Treviso		Italy	Veneto	Treviso	Italy	Veneto region	Treviso
Italy	Sardegna region		Italy	Sardegna		Italy	Sardegna region	
Italy	Sardinia		Italy		Sardinia	Italy	Sardinia	
Italy	Veneto region, Venice province		Italy	Veneto	Venice province	Italy	Veneto region	Venice province
Italy	Veneto region, Padua		Italy	Veneto	Padua	Italy	Veneto region	Padua
Italy	Campania region		Italy	Campania		Italy	Campania region	
Italy	Lombardia region, Mantova		Italy	Lombardia	Mantova	Italy	Lombardia region	Mantova
Italy	Sardegna		Italy	Sardegna		Italy	Sardinia	
Italy	Sicily		Italy		Sicily	Italy	Sicily	
Italy			Italy			Italy		
Italy	Friuli Venezia Giulia		Italy	Friuli Venezia Giulia		Italy	Friuli Venezia Giulia	
Italy	Lombardy		Italy		Lombardy	Italy	Lombardy	
Italy	Emilia-Romagna region		Italy	Emilia-Romagna		Italy	Emilia-Romagna region	
Italy	Emilia Romagna		Italy	Emilia-Romagna		Italy	Emilia Romagna	
Italy	EmiliaRomagna		Italy	Emilia-Romagna		Italy	EmiliaRomagna	
Italy	Rovigo		Italy		Rovigo	Italy	Rovigo	
Italy	Friuli		Italy	Friuli Venezia Giulia		Italy	Friuli	
Italy	Lombardia		Italy	Lombardia		Italy	Lombardy	
Italy	Piemonte		Italy	Piemonte		Italy	Piedmont	
Italy	Tuscany		Italy		Tuscany	Italy	Tuscany	
Italy	Piedmont		Italy		Piedmont	Italy	Piedmont	
Italy	Campania		Italy	Campania		Italy	Campania	
Italy	Veneto		Italy	Veneto		Italy	Veneto	
Kazakhstan	West Kazakhstan oblast, Akzhaik District		Kazakhstan		West Kazakhstan oblast, Akzhaik District	Kazakhstan	West Kazakhstan oblast	Akzhaik District
Kenya	Ijara, North Eastern Province		Kenya		Ijara, North Eastern Province	Kenya	Ijara	North Eastern Province
Kenya	Rift Valley Province		Kenya		Rift Valley Province	Kenya	Rift Valley Province	
Kenya	Marsabit County		Kenya	Marsabit		Kenya	Marsabit County	
Kenya			Kenya			Kenya		
Kosovo			Kosovo			Kosovo		
Madagascar			Madagascar			Madagascar		
Malaysia			Malaysia			Malaysia		
Mexico	Cuidad Juarez, Chihuahua State		Mexico	Chihuahua	Cuidad Juarez	Mexico	Cuidad Juarez	Chihuahua State
Mexico	Nuevo Leon		Mexico	Nuevo Leon		Mexico	Nuevo Leon	
Mexico	Tamaulipas		Mexico	Tamaulipas		Mexico	Tamaulipas	
Mexico	municipality of Juarez, Nuevo Leon State		Mexico	Nuevo Leon	municipality of Juarez	Mexico	municipality of Juarez	Nuevo Leon State
Mexico	Baja Calfornia Norte		Mexico	Baja California		Mexico	Baja Calfornia Norte	
Mexico	Florida		Mexico		Florida	Mexico	Florida	
Mexico	Sonora		Mexico	Sonora		Mexico	Sonora	
Mexico			Mexico			Mexico		
Mexico	Rio Arriba, Chiapas		Mexico	Chiapas	Rio Arriba	Mexico	Rio Arriba	Chiapas
Mexico	Oaxaca		Mexico	Oaxaca		Mexico	Oaxaca	
Morocco			Morocco			Morocco		
Namibia			Namibia			Namibia		
Nepal			Nepal			Nepal		
Netherlands	Province of Utrecht, Vleuten		Netherlands	Utrecht	Vleuten	Netherlands	Province of Utrecht	Vleuten
Netherlands	Province of Utrecht		Netherlands	Utrecht		Netherlands	Province of Utrecht	
Netherlands	Province of Utrecht, Haarzuilens		Netherlands	Utrecht	Haarzuilens	Netherlands	Province of Utrecht	Haarzuilens
Netherlands			Netherlands			Netherlands		
Nigeria			Nigeria			Nigeria		
Nigeria	Borno State		Nigeria	Borno		Nigeria	Borno State	
Pakistan			Pakistan			Pakistan		
Poland			Poland			Poland		
Portugal			Portugal			Portugal		
Portugal	southern Portugal		Portugal		southern Portugal	Portugal	southern Portugal	
Puerto Rico			Puerto Rico			USA	Puerto Rico	
Romania	Ialomita County, Fetesti City		Romania	Ialomita	Fetesti City	Romania	Ialomita County	Fetesti City
Romania	Ialomita County		Romania	Ialomita		Romania	Ialomita County	
Romania	Sibiu county		Romania	Sibiu		Romania	Sibiu county	
Romania	Bucharest, Bucharest		Romania		Bucharest, Bucharest	Romania	Bucharest	Bucharest
Romania	Enisala		Romania	Salaj		Romania	Enisala	
Romania	Danube Delta, Mila 26		Romania		Danube Delta, Mila 26	Romania	Danube Delta	Mila 26
Romania			Romania			Romania		
Romania	Bucharest		Romania		Bucharest	Romania	Bucharest	
Russia	Volgograd, low Volga		Russia	Volgogradskaja oblast'	low Volga	Russia	Volgograd Region	low Volga
Russia	Voronezh		Russia	Voronezhskaya oblast'		Russia	Voronezh	
Russia	Moscow		Russia		Moscow	Russia	Moscow Oblast	
Russia	Urupinsk		Russia		Urupinsk	Russia	Urupinsk	
Russia	Chuvashiya		Russia		Chuvashiya	Russia	Chuvashiya	
Russia	Kabardino-Balkaria		Russia	Kabardino-Balkarskaja Respublika		Russia	Kabardino-Balkaria	
Russia	Saratov		Russia	Saratovskaja oblast'		Russia	Saratov	
Russia	Bashkortostan		Russia	Bashkortostan, Respublika		Russia	Bashkortostan	
Russia	Krasnodar		Russia	Krasnodarskij kraj		Russia	Krasnodar	
Russia	Vladikavkaz		Russia		Vladikavkaz	Russia	Vladikavkaz	
Russia	Stavropol		Russia	Stavropol'skij kraj		Russia	Stavropol	
Russia	Rostov, Don		Russia	Rostovskaja oblast'	Don	Russia	Rostov	Don
Russia	Kalmikia		Russia		Kalmikia	Russia	Kalmikia	
Russia	Astrakhan, Volga delta		Russia	Astrahanskaja oblast'	Volga delta	Russia	Astrakhan Region	Volga delta
Russia	Astrakhan region		Russia	Astrahanskaja oblast'		Russia	Astrakhan region	
Russia	Volgograd region		Russia	Volgogradskaja oblast'		Russia	Volgograd region	
Russia	Dagestan		Russia	Dagestan, Respublika		Russia	Dagestan	
Russia	Far Eastern Region		Russia		Far Eastern Region	Russia	Far Eastern Region	
Russia	Rostov		Russia	Rostovskaja oblast'		Russia	Rostov	
Russia			Russia			Russia		
Russia	Astrakhan		Russia	Astrahanskaja oblast'		Russia	Astrakhan Region	
Russia	Volgograd		Russia	Volgogradskaja oblast'		Russia	Volgograd Region	
Russia	Karachay-Cherkessia		Russia		Karachay-Cherkessia	Russia	Karachay-Cherkessia	
Senegal	Thille Boubacar region		Senegal		Thille Boubacar region	Senegal	Thille Boubacar region	
Senegal	Bounkiling		Senegal		Bounkiling	Senegal	Bounkiling	
Senegal			Senegal			Senegal		
Senegal	Barkedji region		Senegal		Barkedji region	Senegal	Barkedji region	
Serbia	Mali Idjos		Serbia		Mali Idjos	Serbia	Mali Idjos	
Serbia	Temerin		Serbia		Temerin	Serbia	Temerin	
Serbia	Novi Becej		Serbia		Novi Becej	Serbia	Novi Becej	
Serbia	Karavukovo		Serbia		Karavukovo	Serbia	Karavukovo	
Serbia	Novi Sad		Serbia		Novi Sad	Serbia	South Bačka District	Novi Sad
Serbia	Zemun		Serbia		Zemun	Serbia	Belgrade	Zemun
Serbia	Besni Fok		Serbia		Besni Fok	Serbia	Besni Fok	
Serbia	Sombor		Serbia		Sombor	Serbia	South Bačka District	Sombor
Serbia	Belgrade		Serbia		Belgrade	Serbia	Belgrade	
Serbia	Subotica		Serbia		Subotica	Serbia	North Bačka District	Subotica
Serbia	Curug		Serbia		Curug	Serbia	Curug	
Serbia			Serbia			Serbia		
Serbia	Opovo		Serbia		Opovo	Serbia	Opovo	
Singapore			Singapore			Singapore		
Slovakia	Secovce		Slovakia		Secovce	Slovakia	Kosice	Secovce
Slovakia			Slovakia			Slovakia		
Slovakia	Velky Biel		Slovakia		Velky Biel	Slovakia	Bratislava	Velky Biel
Slovenia			Slovenia			Slovenia		
South Africa	Lapalala, Limpopo		South Africa	Limpopo	Lapalala	South Africa	Lapalala	Limpopo
South Africa	KwaZulu Natal		South Africa	Kwazulu-Natal		South Africa	KwaZulu Natal	
South Africa	North West		South Africa	North-West		South Africa	North-West ZA	
South Africa	Kruger National Park, Mpumalanga		South Africa	Mpumalanga	Kruger National Park	South Africa	Kruger National Park	Mpumalanga
South Africa	Free State		South Africa	Free State		South Africa	Free State	
South Africa	Tiegerpoort, Pretoria		South Africa		Tiegerpoort, Pretoria	South Africa	Tiegerpoort	Pretoria
South Africa	Gauteng		South Africa	Gauteng		South Africa	Gauteng	
South Africa	Boschkop, Gauteng		South Africa	Gauteng	Boschkop	South Africa	Boschkop	Gauteng
South Africa	Kyalami, Gauteng		South Africa	Gauteng	Kyalami	South Africa	Kyalami	Gauteng
South Africa	Western Cape		South Africa	Western Cape		South Africa	Western Cape Province	
South Africa			South Africa			South Africa		
South Africa	Marakele, Limpopo		South Africa	Limpopo	Marakele	South Africa	Marakele	Limpopo
South Korea			South Korea			South Korea		
Spain			Spain			Spain		
Spain	Manilva, Malaga		Spain		Manilva, Malaga	Spain	Manilva	Malaga
Spain	Lerida, Catalonia		Spain		Lerida, Catalonia	Spain	Lerida	Catalonia
Spain	Tarragona, Catalonia		Spain		Tarragona, Catalonia	Spain	Tarragona	Catalonia
Switzerland	Ticino		Switzerland	Ticino		Switzerland	Ticino	
Switzerland			Switzerland			Switzerland		
Tajikistan			Tajikistan			Tajikistan		
Tanzania			Tanzania			Tanzania		
Tunisia			Tunisia			Tunisia		
Turkey			Turkey			Turkey		
USA	Tompkins Co., NY		USA	New York	Tompkins Co.	USA	Tompkins Co.	NY
USA	zip code 58503		USA		zip code 58503	USA	zip code 58503	
USA	zip code 68135		USA		zip code 68135	USA	zip code 68135	
USA	zip code 67135		USA		zip code 67135	USA	zip code 67135	
USA	Illinois, Perry		USA	Illinois	Perry	USA	Illinois	Perry County IL
USA	zip code 68644		USA		zip code 68644	USA	zip code 68644	
USA	zip code 48183		USA		zip code 48183	USA	zip code 48183	
USA	Ulster Co., NY		USA	New York	Ulster Co.	USA	Ulster Co.	NY
USA	Los Angeles CA		USA	California	Los Angeles	USA	Los Angeles CA	
USA	Albuquerque NM		USA	New Mexico	Albuquerque	USA	Albuquerque NM	
USA	Rapid City SD		USA	South Dakota	Rapid City	USA	Rapid City SD	
USA	Shreveport LA		USA	Louisiana	Shreveport	USA	Shreveport LA	
USA	Little Rock AK		USA	Alaska	Little Rock	USA	Little Rock AK	
USA	Goose Creek SC		USA	South Carolina	Goose Creek	USA	Goose Creek SC	
USA	Grand Junction CO		USA	Colorado	Grand Junction	USA	Grand Junction CO	
USA	zip code 68840		USA		zip code 68840	USA	zip code 68840	
USA	Illinois, Champaign		USA	Illinois	Champaign	USA	Illinois	Champaign County IL
USA	zip code 68134		USA		zip code 68134	USA	zip code 68134	
USA	Illinois, Rockford		USA	Illinois	Rockford	USA	Illinois	Winnebago County IL
USA	zip code 48180		USA		zip code 48180	USA	zip code 48180	
USA	Illinois, Springfield		USA	Illinois	Springfield	USA	Illinois	Sangamon County
USA	zip code 67037		USA		zip code 67037	USA	zip code 67037	
USA	zip code 68801		USA		zip code 68801	USA	zip code 68801	
USA	zip code 48126		USA		zip code 48126	USA	zip code 48126	
USA	zip code 67226		USA		zip code 67226	USA	zip code 67226	
USA	zip code 68136		USA		zip code 68136	USA	zip code 68136	
USA	zip code 68634		USA		zip code 68634	USA	zip code 68634	
USA	zip code 63130		USA		zip code 63130	USA	zip code 63130	
USA	zip code 68104		USA		zip code 68104	USA	zip code 68104	
USA	zip code 68105		USA		zip code 68105	USA	zip code 68105	
USA	Columbia Co., NY		USA	New York	Columbia Co.	USA	Columbia Co.	NY
USA	Illinois, Dekalb		USA	Illinois	Dekalb	USA	Illinois	Dekalb County IL
USA	zip code 63136		USA		zip code 63136	USA	zip code 63136	
USA	Tempe AZ		USA	Arizona	Tempe	USA	Tempe AZ	
USA	Illinois, Henry		USA	Illinois	Henry	USA	Illinois	Henry County IL
USA	San Francisco CA		USA	California	San Francisco	USA	San Francisco CA	
USA	Las Vegas NV		USA	Nevada	Las Vegas	USA	Las Vegas NV	
USA	La Habra CA		USA	California	La Habra	USA	La Habra CA	
USA	Livingston Co., NY		USA	New York	Livingston Co.	USA	Livingston Co.	NY
USA	Bowerbank,California		USA	California	Bowerbank	USA	Bowerbank	California
USA	Genesee Co., NY		USA	New York	Genesee Co.	USA	Genesee Co.	NY
USA	Illinois, Fayette		USA	Illinois	Fayette	USA	Illinois	Fayette County IL
USA	zip code 92832		USA		zip code 92832	USA	zip code 92832	
USA	Illinois, Mclean		USA	Illinois	Mclean	USA	Illinois	McLean County IL
USA	zip code 91331		USA		zip code 91331	USA	zip code 91331	
USA	zip code 91764		USA		zip code 91764	USA	zip code 91764	
USA	zip code 90631		USA		zip code 90631	USA	zip code 90631	
USA	zip code 92337		USA		zip code 92337	USA	zip code 92337	
USA	zip code 91786		USA		zip code 91786	USA	zip code 91786	
USA	Jefferson Co., NY		USA	New York	Jefferson Co.	USA	Jefferson Co.	NY
USA	zip code 79853		USA		zip code 79853	USA	zip code 79853	
USA	zip code 92373		USA		zip code 92373	USA	zip code 92373	
USA	zip code 79912		USA		zip code 79912	USA	zip code 79912	
USA	zip code 79915		USA		zip code 79915	USA	zip code 79915	
USA	CO, Ft. Collins (80526)		USA	Colorado	Ft. Collins (80526)	USA	CO	Ft. Collins (80526)
